near_uid	far_uid	legit_file	stray_file
118	371	1770746115.1372450_727.hamsa,U=118:2,	1770674733.1073681_118.hamsa,U=118:2,
135	401	1770746118.1372450_744.hamsa,U=135:2,	1770674733.1073681_135.hamsa,U=135:2,R
139	406	1770746118.1372450_748.hamsa,U=139:2,	1770674735.1073681_139.hamsa,U=139:2,
154	432	1770746121.1372450_763.hamsa,U=154:2,	1770674735.1073681_154.hamsa,U=154:2,
177	527	1770746150.1372450_786.hamsa,U=177:2,	1770674735.1073681_177.hamsa,U=177:2,
182	532	1770746150.1372450_791.hamsa,U=182:2,	1770674736.1073681_182.hamsa,U=182:2,
187	537	1770746150.1372450_796.hamsa,U=187:2,	1770674736.1073681_187.hamsa,U=187:2,
195	557	1770746150.1372450_804.hamsa,U=195:2,	1770674736.1073681_195.hamsa,U=195:2,
246	644	1770746152.1372450_855.hamsa,U=246:2,	1770674739.1073681_246.hamsa,U=246:2,
247	645	1770746155.1372450_856.hamsa,U=247:2,	1770674739.1073681_247.hamsa,U=247:2,
248	646	1770746155.1372450_857.hamsa,U=248:2,	1770674739.1073681_248.hamsa,U=248:2,
249	647	1770746155.1372450_858.hamsa,U=249:2,	1770674739.1073681_249.hamsa,U=249:2,
250	648	1770746155.1372450_859.hamsa,U=250:2,	1770674739.1073681_250.hamsa,U=250:2,
273	683	1770746157.1372450_882.hamsa,U=273:2,	1770674740.1073681_273.hamsa,U=273:2,
275	686	1770746157.1372450_884.hamsa,U=275:2,	1770674740.1073681_275.hamsa,U=275:2,
302	747	1770746157.1372450_911.hamsa,U=302:2,	1770674741.1073681_302.hamsa,U=302:2,
306	754	1770746157.1372450_915.hamsa,U=306:2,	1770674741.1073681_306.hamsa,U=306:2,
310	787	1770746160.1372450_919.hamsa,U=310:2,	1770674741.1073681_310.hamsa,U=310:2,
334	1035	1770746160.1372450_943.hamsa,U=334:2,	1770674743.1073681_334.hamsa,U=334:2,
351	1211	1770746170.1372450_960.hamsa,U=351:2,	1770674751.1073681_351.hamsa,U=351:2,
370	1261	1770746215.1372450_979.hamsa,U=370:2,	1770674752.1073681_370.hamsa,U=370:2,
375	1269	1770746215.1372450_984.hamsa,U=375:2,	1770674752.1073681_375.hamsa,U=375:2,
379	1281	1770746215.1372450_988.hamsa,U=379:2,	1770674752.1073681_379.hamsa,U=379:2,
380	1282	1770746215.1372450_989.hamsa,U=380:2,	1770674752.1073681_380.hamsa,U=380:2,
381	1287	1770746215.1372450_990.hamsa,U=381:2,	1770674752.1073681_381.hamsa,U=381:2,
382	1297	1770746215.1372450_991.hamsa,U=382:2,	1770674752.1073681_382.hamsa,U=382:2,
383	1298	1770746215.1372450_992.hamsa,U=383:2,	1770674752.1073681_383.hamsa,U=383:2,
391	1320	1770746215.1372450_1000.hamsa,U=391:2,	1770674752.1073681_391.hamsa,U=391:2,
394	1328	1770746215.1372450_1003.hamsa,U=394:2,	1770674752.1073681_394.hamsa,U=394:2,
408	1349	1770746215.1372450_1017.hamsa,U=408:2,	1770674754.1073681_408.hamsa,U=408:2,
533	1739	1770746253.1372450_1142.hamsa,U=533:2,	1770674764.1073681_533.hamsa,U=533:2,
587	1941	1770746253.1372450_1196.hamsa,U=587:2,	1770674767.1073681_587.hamsa,U=587:2,
628	2076	1770746253.1372450_1237.hamsa,U=628:2,	1770674767.1073681_628.hamsa,U=628:2,
633	2102	1770746257.1372450_1242.hamsa,U=633:2,	1770674767.1073681_633.hamsa,U=633:2,
640	2132	1770746257.1372450_1249.hamsa,U=640:2,	1770674768.1073681_640.hamsa,U=640:2,R
647	2157	1770746257.1372450_1256.hamsa,U=647:2,	1770674768.1073681_647.hamsa,U=647:2,
663	2191	1770746257.1372450_1272.hamsa,U=663:2,	1770674768.1073681_663.hamsa,U=663:2,
666	2194	1770746257.1372450_1275.hamsa,U=666:2,	1770674769.1073681_666.hamsa,U=666:2,F
675	2259	1770746258.1372450_1284.hamsa,U=675:2,	1770674773.1073681_675.hamsa,U=675:2,
676	2261	1770746258.1372450_1285.hamsa,U=676:2,	1770674773.1073681_676.hamsa,U=676:2,
721	2395	1770746270.1372450_1330.hamsa,U=721:2,	1770674778.1073681_721.hamsa,U=721:2,
773	2562	1770746274.1372450_1382.hamsa,U=773:2,	1770674788.1073681_773.hamsa,U=773:2,
778	2575	1770746274.1372450_1387.hamsa,U=778:2,	1770674788.1073681_778.hamsa,U=778:2,
791	2602	1770746274.1372450_1400.hamsa,U=791:2,	1770674788.1073681_791.hamsa,U=791:2,
815	2659	1770746284.1372450_1424.hamsa,U=815:2,	1770674789.1073681_815.hamsa,U=815:2,
833	2718	1770746284.1372450_1442.hamsa,U=833:2,	1770674790.1073681_833.hamsa,U=833:2,
838	2731	1770746284.1372450_1447.hamsa,U=838:2,	1770674790.1073681_838.hamsa,U=838:2,
862	2915	1770746288.1372450_1471.hamsa,U=862:2,	1770674793.1073681_862.hamsa,U=862:2,
899	3098	1770746304.1372450_1508.hamsa,U=899:2,	1770674797.1073681_899.hamsa,U=899:2,
958	3378	1770746314.1372450_1567.hamsa,U=958:2,	1770674805.1073681_958.hamsa,U=958:2,R
967	3397	1770746314.1372450_1576.hamsa,U=967:2,	1770674805.1073681_967.hamsa,U=967:2,
973	3422	1770746314.1372450_1582.hamsa,U=973:2,	1770674813.1073681_973.hamsa,U=973:2,
988	3451	1770746314.1372450_1597.hamsa,U=988:2,	1770674813.1073681_988.hamsa,U=988:2,
1060	3692	1770746314.1372450_1669.hamsa,U=1060:2,	1770674825.1073681_1060.hamsa,U=1060:2,
1082	3818	1770746316.1372450_1691.hamsa,U=1082:2,	1770674830.1073681_1082.hamsa,U=1082:2,
1083	3822	1770746316.1372450_1692.hamsa,U=1083:2,	1770674830.1073681_1083.hamsa,U=1083:2,
1084	3825	1770746316.1372450_1693.hamsa,U=1084:2,	1770674830.1073681_1084.hamsa,U=1084:2,
1125	4010	1770746316.1372450_1734.hamsa,U=1125:2,	1770674833.1073681_1125.hamsa,U=1125:2,
1140	4064	1770746316.1372450_1749.hamsa,U=1140:2,	1770674836.1073681_1140.hamsa,U=1140:2,
1153	4099	1770746317.1372450_1762.hamsa,U=1153:2,	1770674837.1073681_1153.hamsa,U=1153:2,
1155	4101	1770746317.1372450_1764.hamsa,U=1155:2,	1770674837.1073681_1155.hamsa,U=1155:2,F
1156	4102	1770746317.1372450_1765.hamsa,U=1156:2,	1770674837.1073681_1156.hamsa,U=1156:2,
1189	4294	1770746319.1372450_1798.hamsa,U=1189:2,	1770674839.1073681_1189.hamsa,U=1189:2,
1222	4476	1770746319.1372450_1831.hamsa,U=1222:2,	1770674848.1073681_1222.hamsa,U=1222:2,
1237	4533	1770746319.1372450_1846.hamsa,U=1237:2,	1770674850.1073681_1237.hamsa,U=1237:2,
1253	4630	1770746319.1372450_1862.hamsa,U=1253:2,	1770674850.1073681_1253.hamsa,U=1253:2,
1293	4782	1770746323.1372450_1902.hamsa,U=1293:2,	1770674850.1073681_1293.hamsa,U=1293:2,
1298	4804	1770746323.1372450_1907.hamsa,U=1298:2,	1770674851.1073681_1298.hamsa,U=1298:2,
1302	4822	1770746323.1372450_1911.hamsa,U=1302:2,	1770674851.1073681_1302.hamsa,U=1302:2,
1305	4839	1770746323.1372450_1914.hamsa,U=1305:2,	1770674851.1073681_1305.hamsa,U=1305:2,
1308	4851	1770746323.1372450_1917.hamsa,U=1308:2,	1770674851.1073681_1308.hamsa,U=1308:2,
1312	4923	1770746323.1372450_1921.hamsa,U=1312:2,	1770674851.1073681_1312.hamsa,U=1312:2,
1346	5194	1770746326.1372450_1955.hamsa,U=1346:2,	1770674861.1073681_1346.hamsa,U=1346:2,
1360	5444	1770746326.1372450_1969.hamsa,U=1360:2,	1770674862.1073681_1360.hamsa,U=1360:2,
1363	5482	1770746326.1372450_1972.hamsa,U=1363:2,	1770674862.1073681_1363.hamsa,U=1363:2,
1364	5490	1770746326.1372450_1973.hamsa,U=1364:2,	1770674862.1073681_1364.hamsa,U=1364:2,
1379	5604	1770746326.1372450_1988.hamsa,U=1379:2,	1770674863.1073681_1379.hamsa,U=1379:2,
1390	5795	1770746326.1372450_1999.hamsa,U=1390:2,	1770674863.1073681_1390.hamsa,U=1390:2,R
1400	5912	1770746326.1372450_2009.hamsa,U=1400:2,	1770674863.1073681_1400.hamsa,U=1400:2,R
1411	5970	1770746326.1372450_2020.hamsa,U=1411:2,	1770674863.1073681_1411.hamsa,U=1411:2,
1415	5978	1770746326.1372450_2024.hamsa,U=1415:2,	1770674863.1073681_1415.hamsa,U=1415:2,
1432	6054	1770746371.1372450_2041.hamsa,U=1432:2,	1770674865.1073681_1432.hamsa,U=1432:2,
1443	6090	1770746371.1372450_2052.hamsa,U=1443:2,	1770674866.1073681_1443.hamsa,U=1443:2,
1448	6130	1770746371.1372450_2057.hamsa,U=1448:2,	1770674866.1073681_1448.hamsa,U=1448:2,
1456	6153	1770746371.1372450_2065.hamsa,U=1456:2,	1770674867.1073681_1456.hamsa,U=1456:2,
1459	6178	1770746371.1372450_2068.hamsa,U=1459:2,	1770674867.1073681_1459.hamsa,U=1459:2,
1461	6182	1770746371.1372450_2070.hamsa,U=1461:2,	1770674867.1073681_1461.hamsa,U=1461:2,
1466	6192	1770746371.1372450_2075.hamsa,U=1466:2,	1770674867.1073681_1466.hamsa,U=1466:2,
1470	6278	1770746371.1372450_2079.hamsa,U=1470:2,	1770674867.1073681_1470.hamsa,U=1470:2,
1489	6327	1770746371.1372450_2098.hamsa,U=1489:2,	1770674868.1073681_1489.hamsa,U=1489:2,
1491	6332	1770746371.1372450_2100.hamsa,U=1491:2,	1770674868.1073681_1491.hamsa,U=1491:2,
1506	6399	1770746373.1372450_2115.hamsa,U=1506:2,	1770674871.1073681_1506.hamsa,U=1506:2,
1515	6466	1770746373.1372450_2124.hamsa,U=1515:2,	1770674871.1073681_1515.hamsa,U=1515:2,
1521	6478	1770746373.1372450_2130.hamsa,U=1521:2,	1770674871.1073681_1521.hamsa,U=1521:2,
1551	6539	1770746373.1372450_2160.hamsa,U=1551:2,	1770674873.1073681_1551.hamsa,U=1551:2,
1558	6558	1770746373.1372450_2167.hamsa,U=1558:2,	1770674874.1073681_1558.hamsa,U=1558:2,
1573	6595	1770746373.1372450_2182.hamsa,U=1573:2,	1770674876.1073681_1573.hamsa,U=1573:2,
1574	6596	1770746373.1372450_2183.hamsa,U=1574:2,	1770674876.1073681_1574.hamsa,U=1574:2,
1584	6609	1770746373.1372450_2193.hamsa,U=1584:2,	1770674877.1073681_1584.hamsa,U=1584:2,
1589	6633	1770746373.1372450_2198.hamsa,U=1589:2,	1770674877.1073681_1589.hamsa,U=1589:2,
1617	6713	1770746374.1372450_2226.hamsa,U=1617:2,	1770674883.1073681_1617.hamsa,U=1617:2,
1637	6795	1770746374.1372450_2246.hamsa,U=1637:2,	1770674883.1073681_1637.hamsa,U=1637:2,
1640	6799	1770746374.1372450_2249.hamsa,U=1640:2,	1770674883.1073681_1640.hamsa,U=1640:2,
3349	22313	1770746477.1372450_3958.hamsa,U=3349:2,	1770676972.1089134_1109.hamsa,U=3349:2,
3364	22339	1770746478.1372450_3973.hamsa,U=3364:2,	1770676972.1089134_1124.hamsa,U=3364:2,
3404	22576	1770746481.1372450_4013.hamsa,U=3404:2,	1770676977.1089134_1164.hamsa,U=3404:2,F
3406	22578	1770746481.1372450_4015.hamsa,U=3406:2,	1770676977.1089134_1166.hamsa,U=3406:2,
3727	24258	1770746508.1372450_4336.hamsa,U=3727:2,	1770677017.1089134_1487.hamsa,U=3727:2,
3794	24962	1770746509.1372450_4403.hamsa,U=3794:2,	1770677019.1089134_1554.hamsa,U=3794:2,
3824	25247	1770746511.1372450_4433.hamsa,U=3824:2,	1770677021.1089134_1584.hamsa,U=3824:2,
3837	25449	1770746511.1372450_4446.hamsa,U=3837:2,	1770677021.1089134_1597.hamsa,U=3837:2,
3840	25464	1770746512.1372450_4449.hamsa,U=3840:2,	1770677021.1089134_1600.hamsa,U=3840:2,
3846	25474	1770746512.1372450_4455.hamsa,U=3846:2,	1770677021.1089134_1606.hamsa,U=3846:2,
3847	25475	1770746512.1372450_4456.hamsa,U=3847:2,	1770677021.1089134_1607.hamsa,U=3847:2,
3849	25481	1770746512.1372450_4458.hamsa,U=3849:2,	1770677021.1089134_1609.hamsa,U=3849:2,
3853	25707	1770746512.1372450_4462.hamsa,U=3853:2,	1770677021.1089134_1613.hamsa,U=3853:2,
3882	25864	1770746513.1372450_4491.hamsa,U=3882:2,	1770677022.1089134_1642.hamsa,U=3882:2,
3895	25885	1770746521.1372450_4504.hamsa,U=3895:2,	1770677023.1089134_1655.hamsa,U=3895:2,
3958	26395	1770746524.1372450_4567.hamsa,U=3958:2,	1770677026.1089134_1718.hamsa,U=3958:2,
4179	29117	1770746534.1372450_4788.hamsa,U=4179:2,	1770677047.1089134_1939.hamsa,U=4179:2,
4187	29198	1770746534.1372450_4796.hamsa,U=4187:2,	1770677047.1089134_1947.hamsa,U=4187:2,F
4188	29200	1770746534.1372450_4797.hamsa,U=4188:2,	1770677047.1089134_1948.hamsa,U=4188:2,
4258	29771	1770746536.1372450_4867.hamsa,U=4258:2,	1770677050.1089134_2018.hamsa,U=4258:2,
4262	29781	1770746537.1372450_4871.hamsa,U=4262:2,	1770677050.1089134_2022.hamsa,U=4262:2,
4359	30467	1770746540.1372450_4968.hamsa,U=4359:2,	1770677052.1089134_2119.hamsa,U=4359:2,
4464	31230	1770746569.1372450_5073.hamsa,U=4464:2,	1770677054.1089134_2224.hamsa,U=4464:2,
4488	31461	1770746569.1372450_5097.hamsa,U=4488:2,	1770677055.1089134_2248.hamsa,U=4488:2,
4502	31529	1770746569.1372450_5111.hamsa,U=4502:2,	1770677056.1089134_2262.hamsa,U=4502:2,
4503	31538	1770746569.1372450_5112.hamsa,U=4503:2,	1770677056.1089134_2263.hamsa,U=4503:2,
4507	31549	1770746569.1372450_5116.hamsa,U=4507:2,	1770677056.1089134_2267.hamsa,U=4507:2,
4547	31858	1770746576.1372450_5156.hamsa,U=4547:2,	1770677056.1089134_2307.hamsa,U=4547:2,
4559	31924	1770746576.1372450_5168.hamsa,U=4559:2,	1770677056.1089134_2319.hamsa,U=4559:2,
4567	31989	1770746576.1372450_5176.hamsa,U=4567:2,	1770677056.1089134_2327.hamsa,U=4567:2,
4677	32874	1770746577.1372450_5286.hamsa,U=4677:2,	1771454083.2204375_1.hamsa,U=4677:2,
4741	33452	1770746577.1372450_5350.hamsa,U=4741:2,	1783040550.969722_55.hamsa,U=4741:2,
4757	33530	1770746578.1372450_5366.hamsa,U=4757:2,	1783040550.969722_71.hamsa,U=4757:2,
4758	33535	1770746578.1372450_5367.hamsa,U=4758:2,	1783040550.969722_72.hamsa,U=4758:2,
4900	34640	1770746602.1372450_5509.hamsa,U=4900:2,	1783040556.969722_214.hamsa,U=4900:2,
5007	35563	1770746602.1372450_5616.hamsa,U=5007:2,	1783040562.969722_321.hamsa,U=5007:2,
5106	36641	1770746607.1372450_5715.hamsa,U=5106:2,	1783040571.969722_420.hamsa,U=5106:2,
5118	36753	1770746607.1372450_5727.hamsa,U=5118:2,	1783040571.969722_432.hamsa,U=5118:2,
